Ngày,Nhiệt độ tối thiểu hàng ngày,Nhiệt độ tối đa hàng ngày,Mức gió ổn định tối đa,Gió giật tối đa,Tổng lượng mưa hàng ngày,Độ dày của tuyết,Áp suất,Biểu tượng,Mô tả
9/2/2016,            23°C,            32°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
9/3/2016,            24°C,            34°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
9/4/2016,            24°C,            35°C,            32 Km/h,            50 Km/h,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
9/5/2016,            25°C,            33°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
9/6/2016,            24°C,            33°C,            22 Km/h,            N/A,"            0,7mm",            N/A,            N/A,            ,            Giông bãoMưa
9/7/2016,            23°C,            30°C,            32 Km/h,            N/A,            35mm,            N/A,            N/A,            ,            Giông bãoMưa
9/8/2016,            24°C,            31°C,            16 Km/h,            N/A,"            5,5mm",            N/A,            N/A,            ,            Mưa
9/9/2016,            24°C,            31°C,            32 Km/h,            N/A,"            11,9mm",            N/A,            N/A,            ,            Mưa
9/10/2016,            24°C,            29°C,            24 Km/h,            N/A,"            10,4mm",            N/A,            N/A,            ,            Mưa
9/11/2016,            24°C,            31°C,            72 Km/h,            N/A,"            6,3mm",            N/A,            N/A,            ,            Giông bãoMưa
9/12/2016,            25°C,            31°C,            15 Km/h,            N/A,"            25,9mm",            N/A,            N/A,            ,            Giông bãoMưa
9/13/2016,            24°C,            30°C,            29 Km/h,            N/A,"            2,5mm",            N/A,            N/A,            ,            Mưa
9/14/2016,            25°C,            32°C,            35 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
9/15/2016,            24°C,            33°C,            32 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bãoMưa
9/16/2016,            25°C,            32°C,            35 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
9/17/2016,            24°C,            27°C,            37 Km/h,            N/A,"            36,3mm",            N/A,            N/A,            ,            Giông bãoMưa
9/18/2016,            22°C,            26°C,            34 Km/h,            54 Km/h,            304mm,            N/A,            N/A,            ,            Giông bãoMưa
9/19/2016,            24°C,            31°C,            22 Km/h,            N/A,            48mm,            N/A,            N/A,            ,            Mưa
9/20/2016,            24°C,            32°C,            N/A,            N/A,"            106,6mm",            N/A,            N/A,            ,            Giông bãoMưa
9/21/2016,            25°C,            31°C,            28 Km/h,            N/A,"            1,2mm",            N/A,            N/A,            ,            Giông bãoMưa
9/22/2016,            25°C,            32°C,            16 Km/h,            N/A,"            11,1mm",            N/A,            N/A,            ,            Giông bãoMưa
9/23/2016,            24°C,            34°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
9/24/2016,            25°C,            33°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
9/25/2016,            25°C,            31°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bãoMưa
9/26/2016,            24°C,            29°C,            32 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
9/27/2016,            24°C,            29°C,            21 Km/h,            N/A,"            28,7mm",            N/A,            N/A,            ,            Mưa
9/28/2016,            24°C,            32°C,            34 Km/h,            N/A,"            17,2mm",            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
9/29/2016,            24°C,            30°C,            28 Km/h,            46 Km/h,            0mm,            N/A,            N/A,            ,            Mưa
9/30/2016,            23°C,            27°C,            35 Km/h,            52 Km/h,"            58,4mm",            N/A,            N/A,            ,            Giông bãoMưa
10/1/2016,            24°C,            30°C,            11 Km/h,            N/A,"            7,8mm",            N/A,"            1009,3mb",            ,            Mưa
10/2/2016,            25°C,            30°C,            14 Km/h,            N/A,"            43,9mm",            N/A,"            1010,2mb",            ,            Mưa
10/3/2016,            27°C,            30°C,            14 Km/h,            N/A,"            0,5mm",            N/A,"            1010,5mb",            ,            sự kiện thời tiết không được báo cáo
10/4/2016,            23°C,            30°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
10/5/2016,            22°C,            31°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
10/6/2016,            23°C,            30°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
10/7/2016,            23°C,            30°C,            34 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
10/8/2016,            22°C,            31°C,            28 Km/h,            46 Km/h,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
10/9/2016,            22°C,            31°C,            35 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
10/10/2016,            24°C,            31°C,            34 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
10/11/2016,            23°C,            30°C,            22 Km/h,            N/A,"            12,4mm",            N/A,            N/A,            ,            Mưa
10/12/2016,            24°C,            31°C,            21 Km/h,            N/A,"            2,5mm",            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
10/13/2016,            25°C,            31°C,            29 Km/h,            41 Km/h,            0mm,            N/A,            N/A,            ,            Mưa
10/14/2016,            23°C,            28°C,            86 Km/h,            129 Km/h,"            32,5mm",            N/A,            N/A,            ,            Mưa
10/15/2016,            23°C,            27°C,            58 Km/h,            94 Km/h,"            191,5mm",            N/A,            N/A,            ,            Mưa
10/16/2016,            25°C,            30°C,            22 Km/h,            N/A,"            1,5mm",            N/A,            N/A,            ,            Giông bãoMưa
10/17/2016,            24°C,            28°C,            14 Km/h,            N/A,            17mm,            N/A,            N/A,            ,            Giông bãoMưa
10/18/2016,            24°C,            28°C,            15 Km/h,            N/A,"            15,7mm",            N/A,            N/A,            ,            Mưa
10/19/2016,            23°C,            27°C,            29 Km/h,            48 Km/h,            2mm,            N/A,            N/A,            ,            Mưa
10/20/2016,            24°C,            29°C,            24 Km/h,            35 Km/h,"            8,3mm",            N/A,            N/A,            ,            Mưa
10/21/2016,            23°C,            28°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
10/22/2016,            23°C,            28°C,            15 Km/h,            N/A,"            1,5mm",            N/A,            N/A,            ,            Mưa
10/23/2016,            22°C,            29°C,            N/A,            N/A,"            0,2mm",            N/A,            N/A,            ,            Mưa
10/24/2016,            23°C,            28°C,            26 Km/h,            N/A,            3mm,            N/A,            N/A,            ,            Mưa
10/25/2016,            21°C,            26°C,            21 Km/h,            N/A,"            3,3mm",            N/A,            N/A,            ,            Mưa
10/26/2016,            20°C,            26°C,            13 Km/h,            N/A,"            2,2mm",            N/A,            N/A,            ,            Mưa
10/27/2016,            20°C,            27°C,            15 Km/h,            N/A,"            14,9mm",            N/A,            N/A,            ,            Mưa
10/28/2016,            21°C,            28°C,            16 Km/h,            N/A,"            0,5mm",            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
10/29/2016,            23°C,            29°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
10/30/2016,            21°C,            28°C,            N/A,            N/A,"            7,1mm",            N/A,            N/A,            ,            Mưa
10/31/2016,            23°C,            28°C,            11 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
11/1/2016,            21°C,            29°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
11/2/2016,            20°C,            31°C,            29 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
11/3/2016,            21°C,            30°C,            34 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
11/4/2016,            22°C,            29°C,            41 Km/h,            65 Km/h,            0mm,            N/A,            N/A,            ,            Mưa
11/5/2016,            24°C,            31°C,            22 Km/h,            37 Km/h,"            23,3mm",            N/A,            N/A,            ,            Mưa
11/6/2016,            24°C,            29°C,            28 Km/h,            45 Km/h,"            51,5mm",            N/A,            N/A,            ,            Mưa
11/7/2016,            26°C,            29°C,            28 Km/h,            42 Km/h,"            1,5mm",            N/A,            N/A,            ,            Mưa
11/8/2016,            23°C,            30°C,            22 Km/h,            N/A,            1mm,            N/A,            N/A,            ,            Mưa
11/9/2016,            23°C,            28°C,            41 Km/h,            66 Km/h,"            6,8mm",            N/A,            N/A,            ,            Mưa
11/10/2016,            23°C,            26°C,            28 Km/h,            50 Km/h,            67mm,            N/A,            N/A,            ,            Mưa
11/11/2016,            23°C,            30°C,            N/A,            N/A,            2mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
11/12/2016,            24°C,            31°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
11/13/2016,            23°C,            29°C,            29 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
11/14/2016,            23°C,            29°C,            32 Km/h,            41 Km/h,"            31,2mm",            N/A,            N/A,            ,            Mưa
11/15/2016,            21°C,            25°C,            34 Km/h,            55 Km/h,            84mm,            N/A,            N/A,            ,            Giông bãoMưa
11/16/2016,            21°C,            26°C,            21 Km/h,            34 Km/h,"            351,2mm",            N/A,            N/A,            ,            Giông bãoMưa
11/17/2016,            23°C,            28°C,            21 Km/h,            29 Km/h,            5mm,            N/A,            N/A,            ,            Mưa
11/18/2016,            23°C,            28°C,            21 Km/h,            N/A,"            0,5mm",            N/A,            N/A,            ,            Mưa
11/19/2016,            23°C,            28°C,            26 Km/h,            37 Km/h,"            0,7mm",            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
11/20/2016,            22°C,            28°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
11/21/2016,            23°C,            27°C,            16 Km/h,            N/A,"            13,4mm",            N/A,            N/A,            ,            Mưa
11/22/2016,            23°C,            28°C,            15 Km/h,            N/A,"            5,5mm",            N/A,            N/A,            ,            Mưa
11/23/2016,            23°C,            29°C,            21 Km/h,            N/A,"            39,1mm",            N/A,            N/A,            ,            Mưa
11/24/2016,            23°C,            30°C,            16 Km/h,            N/A,"            4,3mm",            N/A,            N/A,            ,            Mưa
11/25/2016,            23°C,            26°C,            15 Km/h,            N/A,"            11,1mm",            N/A,            N/A,            ,            Mưa
11/26/2016,            23°C,            28°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
11/27/2016,            23°C,            28°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
11/28/2016,            19°C,            25°C,            28 Km/h,            N/A,"            23,8mm",            N/A,            N/A,            ,            Mưa
11/29/2016,            19°C,            23°C,            22 Km/h,            N/A,"            35,3mm",            N/A,            N/A,            ,            Mưa
11/30/2016,            19°C,            23°C,            15 Km/h,            N/A,"            0,5mm",            N/A,            N/A,            ,            Mưa
12/1/2016,            19°C,            24°C,            15 Km/h,            N/A,            4mm,            N/A,            N/A,            ,            Mưa
12/2/2016,            19°C,            22°C,            11 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
12/3/2016,            19°C,            25°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/4/2016,            19°C,            25°C,            N/A,            N/A,"            12,9mm",            N/A,            N/A,            ,            Mưa
12/5/2016,            19°C,            27°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
12/6/2016,            18°C,            25°C,            N/A,            N/A,"            0,2mm",            N/A,            N/A,            ,            Mưa
12/7/2016,            18°C,            25°C,            16 Km/h,            N/A,"            0,7mm",            N/A,            N/A,            ,            Mưa
12/8/2016,            18°C,            26°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/9/2016,            20°C,            26°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/10/2016,            21°C,            27°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/11/2016,            21°C,            27°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/12/2016,            21°C,            27°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
12/13/2016,            22°C,            27°C,            8 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/14/2016,            22°C,            26°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
12/15/2016,            21°C,            27°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
12/16/2016,            16°C,            24°C,            26 Km/h,            37 Km/h,            0mm,            N/A,            N/A,            ,            Mưa
12/17/2016,            16°C,            19°C,            15 Km/h,            N/A,"            6,6mm",            N/A,            N/A,            ,            Mưa
12/18/2016,            17°C,            21°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/19/2016,            17°C,            21°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/20/2016,            17°C,            22°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
12/21/2016,            18°C,            20°C,            11 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/22/2016,            18°C,            21°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/24/2016,            19°C,            23°C,            26 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/25/2016,            18°C,            23°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/26/2016,            18°C,            24°C,            26 Km/h,            32 Km/h,            0mm,            N/A,            N/A,            ,            Mưa
12/27/2016,            16°C,            20°C,            11 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
12/28/2016,            18°C,            20°C,            11 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
1/1/2017,            14°C,            23°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/2/2017,            14°C,            26°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/3/2017,            16°C,            26°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/4/2017,            19°C,            26°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/5/2017,            17°C,            24°C,            9 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/6/2017,            18°C,            27°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/7/2017,            18°C,            27°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/8/2017,            19°C,            26°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/9/2017,            19°C,            26°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/10/2017,            20°C,            24°C,            15 Km/h,            N/A,"            7,6mm",            N/A,            N/A,            ,            Mưa
1/11/2017,            20°C,            25°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/12/2017,            19°C,            23°C,            15 Km/h,            N/A,"            8,8mm",            N/A,            N/A,            ,            Mưa
1/13/2017,            17°C,            22°C,            28 Km/h,            N/A,"            42,9mm",            N/A,            N/A,            ,            Mưa
1/14/2017,            16°C,            21°C,            34 Km/h,            N/A,"            11,9mm",            N/A,            N/A,            ,            Mưa
1/15/2017,            17°C,            21°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/16/2017,            17°C,            21°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/17/2017,            18°C,            22°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
1/18/2017,            17°C,            20°C,            16 Km/h,            N/A,            3mm,            N/A,            N/A,            ,            Mưa
1/19/2017,            18°C,            23°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
1/20/2017,            18°C,            22°C,            29 Km/h,            N/A,"            4,8mm",            N/A,"            1021,2mb",            ,            Mưa
1/21/2017,            16°C,            22°C,            34 Km/h,            39 Km/h,            0mm,            N/A,            N/A,            ,            Mưa
1/22/2017,            16°C,            21°C,            21 Km/h,            N/A,"            0,2mm",            N/A,            N/A,            ,            Mưa
1/23/2017,            14°C,            21°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
1/24/2017,            14°C,            24°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/25/2017,            16°C,            25°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/26/2017,            18°C,            25°C,            29 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/27/2017,            17°C,            25°C,            13 Km/h,            N/A,"            0,5mm",            N/A,            N/A,            ,            Mưa
1/28/2017,            17°C,            25°C,            9 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
1/29/2017,            16°C,            25°C,            15 Km/h,            N/A,"            0,5mm",            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/30/2017,            16°C,            25°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/31/2017,            16°C,            26°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/1/2017,            16°C,            25°C,            8 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/2/2017,            16°C,            26°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/3/2017,            18°C,            25°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/4/2017,            19°C,            28°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/5/2017,            21°C,            28°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/6/2017,            21°C,            28°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/7/2017,            21°C,            27°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/8/2017,            21°C,            30°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/9/2017,            21°C,            30°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/10/2017,            20°C,            26°C,            39 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/11/2017,            19°C,            22°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/12/2017,            19°C,            23°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/13/2017,            19°C,            25°C,            35 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/14/2017,            17°C,            22°C,            26 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/15/2017,            17°C,            24°C,            9 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/16/2017,            18°C,            27°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/17/2017,            20°C,            28°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/18/2017,            20°C,            28°C,            28 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/19/2017,            17°C,            23°C,            28 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/20/2017,            17°C,            21°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/21/2017,            17°C,            23°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/22/2017,            20°C,            26°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/23/2017,            21°C,            26°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
2/24/2017,            19°C,            27°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/25/2017,            20°C,            27°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/26/2017,            21°C,            28°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/27/2017,            22°C,            27°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/28/2017,            21°C,            28°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/1/2017,            21°C,            29°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/2/2017,            21°C,            29°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/3/2017,            21°C,            27°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/4/2017,            23°C,            27°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/5/2017,            23°C,            25°C,            11 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
3/6/2017,            23°C,            29°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/7/2017,            23°C,            28°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/8/2017,            23°C,            28°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/9/2017,            21°C,            27°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
3/10/2017,            21°C,            28°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/11/2017,            21°C,            28°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/12/2017,            22°C,            30°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/13/2017,            22°C,            30°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/14/2017,            21°C,            30°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
3/15/2017,            21°C,            26°C,            24 Km/h,            N/A,"            2,2mm",            N/A,            N/A,            ,            Mưa
3/16/2017,            22°C,            28°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/17/2017,            22°C,            29°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/18/2017,            22°C,            28°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/19/2017,            23°C,            29°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/20/2017,            23°C,            28°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/21/2017,            21°C,            28°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
3/22/2017,            19°C,            25°C,            21 Km/h,            N/A,"            1,7mm",            N/A,            N/A,            ,            Mưa
3/23/2017,            20°C,            26°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/24/2017,            21°C,            28°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/25/2017,            22°C,            29°C,            15 Km/h,            N/A,            0mm,            N/A,"            1012,6mb",            ,            sự kiện thời tiết không được báo cáo
3/26/2017,            23°C,            29°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/27/2017,            24°C,            31°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/28/2017,            24°C,            31°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/29/2017,            24°C,            31°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/30/2017,            24°C,            31°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/31/2017,            24°C,            32°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/1/2017,            23°C,            31°C,            28 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
4/2/2017,            24°C,            30°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/3/2017,            24°C,            30°C,            29 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bãoMưa
4/4/2017,            22°C,            25°C,            N/A,            N/A,"            46,9mm",            N/A,            N/A,            ,            Giông bãoMưa
4/5/2017,            23°C,            29°C,            24 Km/h,            35 Km/h,            0mm,            N/A,            N/A,            ,            Mưa
4/6/2017,            24°C,            29°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/7/2017,            23°C,            31°C,            21 Km/h,            N/A,"            0,5mm",            N/A,            N/A,            ,            Giông bãoMưa
4/8/2017,            22°C,            32°C,            29 Km/h,            N/A,"            13,9mm",            N/A,            N/A,            ,            Giông bãoMưa
4/9/2017,            23°C,            30°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/10/2017,            24°C,            31°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/11/2017,            24°C,            30°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/12/2017,            24°C,            31°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/13/2017,            24°C,            31°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/14/2017,            24°C,            32°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/15/2017,            24°C,            31°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/16/2017,            24°C,            34°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/17/2017,            25°C,            31°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
